"Date","Team","Opp","G","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","Name","League","BB%","SO%","OBP","SLG","OPS"
"Total","- - -","- - -","35",138,151,48,"25",11,6,6,33,27,10,0,48,3,0,0,"2",10,2,0.348,"Heliot Ramos","NL",7,35,0.404,0.645,1.049
"Total","- - -","- - -","28",84,114,26,"14",8,1,3,17,14,22,3,23,8,0,0,"0",12,3,0.31,"Luis Robert","BL",26,27,0.491,0.536,1.027
"Total","- - -","- - -","58",263,277,97,"67",20,8,2,45,30,13,1,42,0,1,0,"1",12,2,0.369,"Raimel Tapia","BL",5,16,0.397,0.529,0.926
"Total","- - -","- - -","32",111,123,39,"29",6,1,3,18,18,12,2,9,0,0,0,"7",1,2,0.351,"Juan Soto","NL",11,8,0.415,0.505,0.92
"Total","- - -","- - -","139",557,612,181,"121",31,8,21,88,82,43,0,144,4,6,2,"17",44,20,0.325,"Ronald Acuna","N/BL",8,26,0.373,0.522,0.895
"Total","- - -","- - -","125",469,514,137,"77",35,1,24,58,79,38,2,132,3,4,0,"10",0,0,0.292,"Chris Shaw","Watch",8,28,0.346,0.525,0.871
"Total","- - -","- - -","114",430,496,129,"74",37,8,10,73,47,37,1,84,21,1,7,"3",27,10,0.3,"Victor Robles","NL",9,20,0.377,0.493,0.87
"Total","- - -","- - -","110",407,458,108,"53",36,4,15,52,71,46,1,104,3,2,0,"6",1,0,0.265,"Jeimer Candelario","Watch",11,26,0.343,0.484,0.827
"Total","- - -","- - -","47",174,207,48,"31",9,4,4,30,23,19,0,57,11,3,0,"3",12,3,0.276,"Lazaro Armenteros","Watch",11,33,0.377,0.443,0.82
"Total","- - -","- - -","54",204,239,57,"42",8,3,4,54,27,25,0,33,9,1,0,"4",18,3,0.279,"Royce Lewis","BL",12,16,0.381,0.407,0.788
"Total","- - -","- - -","116",457,513,116,"73",22,4,17,84,51,46,1,191,6,2,2,"8",22,8,0.254,"Michael Gettys","Watch",10,42,0.327,0.431,0.758
"Total","- - -","- - -","19",77,82,20,"13",2,2,3,14,16,4,0,18,0,0,1,"1",1,1,0.26,"David Dahl","NL",5,23,0.293,0.455,0.748
"Total","- - -","- - -","57",222,246,54,"31",13,3,7,27,36,16,1,72,3,5,0,"4",2,1,0.243,"Seuly Matias","BL",7,32,0.297,0.423,0.72
"Total","- - -","- - -","81",318,350,83,"55",22,1,5,53,46,28,2,55,2,2,0,"2",11,3,0.261,"Austin Meadows","NL",9,17,0.323,0.384,0.707
"Total","- - -","- - -","134",522,577,130,"95",20,7,8,73,50,47,0,92,2,3,3,"11",20,6,0.249,"Leody Taveras","BL",9,18,0.31,0.36,0.67
"Total","- - -","- - -","67",261,288,60,"47",10,1,2,36,21,25,1,85,1,1,0,"10",10,5,0.23,"Luiz Almanzar","Watch",10,33,0.299,0.299,0.598
